stage,mode,optimize,smooth,angle_step,smoothing,sensitivity,fps,scenario,seed,first_arrival_ms,settle_ms,rms_error_deg,overshoot_yaw_deg,overshoot_pitch_deg,max_yaw_speed_deg_s,max_pitch_speed_deg_s,max_yaw_acceleration_deg_s2,max_pitch_acceleration_deg_s2,max_yaw_jerk_deg_s3,max_pitch_jerk_deg_s3,p95_yaw_acceleration_deg_s2,p95_pitch_acceleration_deg_s2
frame+packet,Lock,false,0.05,90,0.00,0.50,60,overlap,20260916,300.000,300.000,16.994315,0.000000,0.000000,960.000076,0.000000,13440.000916,0.000000,268800.018311,0.000000,1140.002441,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,overlap,20260917,300.000,300.000,16.994315,0.000000,0.000000,960.000076,0.000000,13440.000916,0.000000,268800.018311,0.000000,1140.002441,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,overlap,20260918,300.000,300.000,16.994315,0.000000,0.000000,960.000076,0.000000,13440.000916,0.000000,268800.018311,0.000000,1140.002441,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,overlap,20260919,300.000,300.000,16.994315,0.000000,0.000000,960.000076,0.000000,13440.000916,0.000000,268800.018311,0.000000,1140.002441,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,overlap,20260920,300.000,300.000,16.994315,0.000000,0.000000,960.000076,0.000000,13440.000916,0.000000,268800.018311,0.000000,1140.002441,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,overlap,20260921,300.000,300.000,16.994315,0.000000,0.000000,960.000076,0.000000,13440.000916,0.000000,268800.018311,0.000000,1140.002441,0.000000
frame+packet,Lock,false,0.05,90,0.00,0.50,60,overlap,20260922,300.000,300.000,16.994315,0.000000,0.000000,960.000076,0.000000,13440.000916,0.000000,268800.018311,0.000000,1140.002441,0.000000
frame+packet,Lock,false,0.30,90,0.00,0.50,60,yaw90,20260915,200.000,200.000,6.451024,7.050003,0.000000,930.000076,0.000000,13440.000916,0.000000,339600.067139,0.000000,3360.000610,0.000000
frame+packet,Lock,false,0.30,90,0.00,0.50,60,yaw90,20260916,200.000,200.000,6.445070,6.600006,0.000000,930.000076,0.000000,13440.000916,0.000000,343200.042725,0.000000,3179.998779,0.000000
frame+packet,Lock,false,0.30,90,0.00,0.50,60,yaw90,20260917,200.000,200.000,6.431091,5.400009,0.000000,930.000076,0.000000,13440.000916,0.000000,352800.018311,0.000000,2700.000000,0.000000
